pool,week,import
GBBFS,2019-09-15,198
GBBGH,2017-02-12,1075
GBBGH,2017-03-12,1140
GBBGH,2018-02-18,817
GBBGH,2021-02-21,548
GBBGH,2024-10-13,422
GBCDF,2020-08-16,194
GBDCT,2017-09-24,517
GBDCT,2018-07-01,332
GBDCT,2021-07-25,153
GBDCT,2023-05-07,55
GBFXS,2020-05-17,3034
GBGMO,2017-10-15,287
GBGMO,2019-11-10,243
GBGMO,2022-02-20,136
GBLDS,2021-06-06,190
GBLDS,2021-10-31,121
GBLDS,2021-11-07,112
GBLGP,2017-10-01,1445
GBLGP,2019-01-27,1547
GBLGP,2021-06-27,2195
GBLGP,2023-07-30,1639
GBLPL,2019-02-03,653
GBLPL,2022-01-30,437
GBLPL,2022-11-20,603
GBMNC,2017-10-29,807
GBMNC,2018-11-18,516
GBMNC,2022-03-06,374
GBSSH,2023-08-27,119
GBTEE,2023-05-14,130
GBWID,2018-06-03,437
GBDCT,2023-02-26,85
GBGMO,2017-10-22,190
GBLGP,2018-02-25,1194
GBSFD,2022-04-17,257
GBBFS,2022-07-31,114
GBSSH,2023-11-19,127
GBBFS,2018-04-15,226
GBBGH,2023-08-27,520
GBBGH,2024-06-30,344
GBDCT,2020-02-02,345
GBDCT,2020-05-17,229
GBDPT,2024-08-11,270
GBGMO,2018-06-10,302
GBGMO,2020-10-25,227
GBGMO,2022-04-24,121
GBLDS,2018-02-25,332
GBLGP,2021-05-30,1761
GBLPL,2024-03-03,325
GBSFD,2021-06-06,369
GBSFD,2022-05-22,321
GBSOU,2017-02-12,485
GBSOU,2024-06-02,588
GBSSH,2017-02-26,132
GBSSH,2021-09-12,145
GBTEE,2020-05-17,219
GBTEE,2023-01-01,65
GBTEE,2023-07-23,258
GBWID,2022-07-03,358
GBBGH,2022-01-02,132
GBCDF,2020-01-05,68
GBSFD,2020-06-14,116
GBSFD,2022-02-20,336
GBSFD,2023-12-31,85
GBSSH,2020-10-04,112
GBBFS,2022-07-17,22
GBBFS,2021-12-19,56
GBBFS,2024-05-19,116
GBBGH,2022-01-30,449
GBDPT,2021-03-07,86
GBDPT,2022-02-20,116
GBDPT,2022-12-04,158
GBFXS,2019-06-02,4576
GBFXS,2021-10-31,4822
GBGMO,2019-03-17,158
GBGMO,2019-12-29,101
GBLGP,2018-08-19,1199
GBLGP,2021-03-28,2802
GBLPL,2019-02-24,775
GBLPL,2021-05-02,389
GBLPL,2023-05-28,323
GBMNC,2024-05-26,314
GBSFD,2017-12-10,188
GBSFD,2019-01-27,239
GBSFD,2024-03-10,407
GBSOU,2017-03-12,548
GBTEE,2017-11-05,307
GBTEE,2017-12-10,367
GBTEE,2019-05-19,284
GBTEE,2020-12-20,135
GBWID,2023-07-23,309
GBWID,2023-09-24,345
GBBGH,2023-01-01,154
GBSFD,2023-01-01,123
GBSOU,2025-01-12,573
GBDCT,2022-12-18,48
GBBGH,2020-06-21,349
GBCDF,2022-07-03,77
GBDCT,2018-03-18,408
GBDCT,2023-05-21,81
GBFXS,2018-11-11,4921
GBGMO,2018-06-17,202
GBGMO,2020-06-07,159
GBGMO,2022-11-27,167
GBGMO,2023-02-19,203
GBLDS,2022-06-19,195
GBLPL,2022-06-12,534
GBLPL,2023-04-16,211
GBMNC,2020-06-21,352
GBSOU,2021-10-24,325
GBSOU,2022-01-09,402
GBSOU,2022-02-27,301
GBSOU,2023-02-12,715
GBSSH,2017-01-29,131
GBSSH,2017-12-03,127
GBWID,2017-03-19,400
GBWID,2024-09-08,453
GBBGH,2023-12-24,368
GBDPT,2025-01-12,239
GBLPL,2022-01-02,197
GBMNC,2024-01-21,205
GBSFD,2023-08-27,446
GBSSH,2023-04-02,174
GBBFS,2024-03-10,61
GBDPT,2020-06-14,15
GBWID,2024-12-08,411
GBBFS,2018-04-01,131
GBBFS,2023-02-26,151
GBBGH,2017-02-05,1187
GBBGH,2020-05-24,428
GBCDF,2019-08-18,160
GBCDF,2020-06-28,56
GBCDF,2022-02-06,74
GBCDF,2022-09-18,58
GBDCT,2021-09-19,103
GBFXS,2017-05-28,4256
GBFXS,2023-08-20,2186
GBGMO,2020-02-16,140
GBLDS,2017-04-09,382
GBLGP,2019-02-17,1309
GBLPL,2022-07-24,478
GBMNC,2021-05-16,361
GBSFD,2017-07-30,173
GBSOU,2017-08-13,468
GBSOU,2023-12-31,301
GBTEE,2020-03-01,149
GBWID,2017-10-01,472
GBWID,2019-06-23,407
GBSOU,2019-04-14,254
GBSSH,2019-10-20,170
GBSSH,2024-03-24,85
GBTEE,2022-02-13,294
GBDPT,2024-04-21,166
GBSSH,2024-03-10,116
GBCDF,2024-11-24,115
GBBFS,2020-05-03,178
GBBFS,2020-05-24,147
GBBFS,2022-11-20,70
GBBFS,2022-12-25,37
GBBGH,2018-07-01,846
GBBGH,2020-03-22,378
GBDCT,2023-04-09,52
GBFXS,2017-05-14,3542
GBFXS,2019-04-21,3957
GBFXS,2022-06-26,3735
GBFXS,2022-09-04,2467
GBGMO,2020-05-03,169
GBGMO,2021-10-10,217
GBLDS,2017-11-12,380
GBLDS,2021-08-22,171
GBLGP,2020-01-12,1396
GBLGP,2024-04-28,1381
GBLPL,2019-08-18,568
GBLPL,2019-11-10,675
GBLPL,2020-08-16,537
GBMNC,2020-12-13,431
GBMNC,2021-07-11,371
GBMNC,2022-01-09,249
GBMNC,2022-03-13,242
GBMNC,2024-03-03,242
GBSFD,2018-05-27,206
GBSFD,2022-05-01,367
GBSFD,2023-02-19,443
GBSSH,2022-03-27,107
GBTEE,2017-09-03,261
GBTEE,2024-06-23,292
GBWID,2017-06-11,413
GBWID,2018-12-16,733
GBWID,2020-06-28,263
GBWID,2020-11-15,470
GBDPT,2020-06-07,8
GBLPL,2020-04-12,485
GBLPL,2020-05-24,451
GBSOU,2021-05-30,959
GBSSH,2017-12-17,134
GBSSH,2022-07-03,136
GBTEE,2017-08-27,293
GBSSH,2022-07-31,107
GBBFS,2021-07-04,109
GBBGH,2017-01-15,1189
GBBGH,2017-01-22,1191
GBBGH,2018-11-25,826
GBBGH,2023-12-17,276
GBCDF,2024-05-05,75
GBDCT,2023-10-29,62
GBDCT,2024-03-24,131
GBDPT,2021-01-31,37
GBFXS,2018-10-21,5755
GBFXS,2019-09-29,5106
GBFXS,2020-04-05,2837
GBGMO,2019-04-14,326
GBGMO,2021-04-25,214
GBGMO,2021-11-28,137
GBLDS,2018-05-06,338
GBLDS,2018-06-24,301
GBLDS,2020-11-29,193
GBLDS,2021-05-02,205
GBLGP,2018-08-26,1268
GBLGP,2019-05-26,1375
GBLGP,2020-03-08,1664
