,value,params_batch_size,params_gat_dropout,params_gat_heads,params_gnn_hidden,params_learning_rate,params_lstm_hidden,params_lstm_dropout,params_lstm_layers,user_attrs_epochs,horizon
0,0.302441269159317,8,0.7,12,768,1.0459946214175508e-05,832,0.0,1,59,1
1,0.36366838216781616,24,0.30000000000000004,13,768,0.0006882195212720277,512,0.7,2,69,2
2,0.36541229486465454,32,0.5,3,192,0.00012905991651455213,640,0.30000000000000004,1,32,3
3,0.3822336792945862,32,0.1,10,192,0.00011082243198603392,256,0.0,1,38,4
4,0.41032519936561584,16,0.4,9,256,0.0006209481724467052,576,0.1,2,55,5
5,0.3929128050804138,24,0.4,12,640,3.746648290438177e-05,1024,0.2,2,30,6
6,0.4515250623226166,16,0.7,14,1024,0.00011408297904277241,384,0.7,2,36,7
7,0.4056306481361389,8,0.4,11,320,1.090020503746775e-05,768,0.4,1,61,8
8,0.45822978019714355,16,0.1,5,64,0.0017244026379157466,1024,0.6000000000000001,2,44,9
9,0.530467689037323,8,0.2,1,128,0.00020082788295498435,384,0.1,2,20,10
10,0.4508415162563324,8,0.30000000000000004,15,64,6.0943740158073634e-05,448,0.2,2,35,11
11,0.4957372546195984,8,0.2,15,192,2.3434716108562893e-05,1024,0.0,1,27,12
12,0.5103457570075989,8,0.4,15,960,1.0001350854158672e-05,384,0.5,2,27,13
